|time|open|high|low|close|tick_volume|spread|real_volume
0|2011-02-04|12.27|12.38|12.27|12.38|65128|0|302137836
1|2011-02-07|12.42|12.62|12.42|12.57|86674|0|433507340
2|2011-02-08|12.63|12.7|12.58|12.69|74585|0|357273868
3|2011-02-09|12.69|12.82|12.67|12.79|96735|0|461625052
4|2011-02-10|12.76|12.86|12.43|12.66|198041|0|891855216
5|2011-02-11|12.67|12.78|12.63|12.75|75368|0|344668268
6|2011-02-14|12.74|12.84|12.74|12.83|61600|0|272984264
7|2011-02-15|12.83|12.86|12.77|12.86|57522|0|264299476
8|2011-02-16|12.89|13.03|12.88|12.97|101406|0|455355348
9|2011-02-17|12.76|12.87|12.73|12.8|112350|0|488174820
10|2011-02-18|12.81|12.84|12.48|12.52|158795|0|740656700
11|2011-02-22|12.22|12.34|12.06|12.1|178838|0|808188360
12|2011-02-23|12.1|12.31|12.09|12.24|140589|0|632772952
13|2011-02-24|12.29|12.33|12.08|12.23|106948|0|466212040
14|2011-02-25|12.33|12.44|12.31|12.44|82296|0|356353256
15|2011-02-28|12.54|12.68|12.54|12.62|78290|0|356813100
16|2011-03-01|12.69|12.7|12.42|12.48|90579|0|425609464
17|2011-03-02|12.5|12.66|12.44|12.58|127741|0|586682768
18|2011-03-03|12.74|12.85|12.71|12.84|105960|0|464344664
19|2011-03-04|12.86|12.87|12.78|12.86|92485|0|412222188
20|2011-03-07|12.9|12.92|12.55|12.69|117655|0|522610648
21|2011-03-08|12.68|12.76|12.58|12.7|76428|0|339283588
22|2011-03-09|12.67|12.67|12.52|12.59|87414|0|438050200
23|2011-03-10|12.48|12.5|12.32|12.38|111093|0|480379872
24|2011-03-11|12.33|12.58|12.32|12.57|102754|0|449804768
25|2011-03-14|12.68|12.72|12.55|12.62|62808|0|286431096
26|2011-03-15|12.3|12.42|12.27|12.32|96025|0|430931116
27|2011-03-16|12.15|12.18|11.65|11.83|198830|0|891749908
28|2011-03-17|12.06|12.13|11.91|11.94|93709|0|411593532
29|2011-03-18|11.83|11.92|11.79|11.79|86134|0|378235368
30|2011-03-21|12.08|12.13|12.04|12.12|56108|0|246906828
31|2011-03-22|12.21|12.22|12.11|12.19|44375|0|202941480
32|2011-03-23|12.04|12.15|12.01|12.11|56468|0|253666840
33|2011-03-24|12.17|12.33|12.17|12.31|67028|0|288845032
34|2011-03-25|12.5|12.57|12.49|12.56|64422|0|291723292
35|2011-03-28|12.61|12.65|12.52|12.52|64476|0|288842960
36|2011-03-29|12.41|12.53|12.36|12.53|73024|0|328790756
37|2011-03-30|12.53|12.53|12.41|12.46|69687|0|308303184
38|2011-03-31|12.37|12.49|12.36|12.45|55893|0|242043564
39|2011-04-01|12.54|12.56|12.26|12.31|87257|0|387542064
40|2011-04-04|12.3|12.31|12.09|12.19|91806|0|435778756
41|2011-04-05|12.04|12.22|12.0|12.1|97775|0|442098020
42|2011-04-06|12.19|12.28|12.04|12.07|81797|0|380150064
43|2011-04-07|12.07|12.16|12.0|12.07|83623|0|352271584
44|2011-04-08|12.14|12.15|11.93|11.97|80466|0|353105032
45|2011-04-11|11.93|11.99|11.79|11.82|83342|0|381956092
46|2011-04-12|11.81|11.92|11.79|11.87|92407|0|402013108
47|2011-04-13|11.97|12.01|11.88|12.0|75812|0|321893012
48|2011-04-14|11.96|12.0|11.86|11.86|69931|0|287040292
49|2011-04-15|11.91|11.92|11.67|11.7|93088|0|397719560
50|2011-04-18|11.65|11.87|11.43|11.85|135496|0|585791920
51|2011-04-19|11.9|12.07|11.87|12.07|91972|0|400212988
52|2011-04-20|12.27|12.35|12.2|12.23|118861|0|517018124
53|2011-04-21|12.68|12.68|12.45|12.53|154156|0|693668864
54|2011-04-25|12.51|12.63|12.51|12.61|55697|0|247413740
55|2011-04-26|12.63|12.68|12.48|12.52|67910|0|300769532
56|2011-04-27|12.58|12.58|12.4|12.51|74881|0|332846780
57|2011-04-28|12.36|12.49|12.34|12.4|72637|0|322198688
58|2011-04-29|12.39|12.64|12.38|12.47|115192|0|549361652
59|2011-05-02|12.49|12.52|12.34|12.37|88001|0|397374628
60|2011-05-03|12.43|12.5|12.34|12.43|67237|0|298421704
61|2011-05-04|12.44|12.57|12.39|12.5|81581|0|368311496
62|2011-05-05|12.44|12.53|12.36|12.39|72713|0|318814860
63|2011-05-06|12.49|12.5|12.36|12.38|59315|0|262589376
64|2011-05-09|12.42|12.47|12.38|12.41|45268|0|193612636
65|2011-05-10|12.46|12.49|12.38|12.48|58563|0|263246900
66|2011-05-11|12.46|12.5|12.33|12.4|71586|0|314274296
67|2011-05-12|12.36|12.4|12.22|12.38|65563|0|303735376
68|2011-05-13|12.35|12.37|12.16|12.16|73499|0|311296860
69|2011-05-16|12.11|12.19|11.88|11.9|96273|0|415924348
70|2011-05-17|11.86|12.01|11.81|12.0|96207|0|419720280
71|2011-05-18|12.02|12.18|12.0|12.14|68680|0|320762316
72|2011-05-19|12.21|12.23|12.1|12.16|55957|0|246385076
73|2011-05-20|12.13|12.18|11.97|11.97|70709|0|312553332
74|2011-05-23|11.78|12.0|11.77|11.94|83236|0|362877312
75|2011-05-24|11.98|12.0|11.83|11.87|67790|0|306621140
76|2011-05-25|11.91|12.09|11.89|12.02|60142|0|272515768
77|2011-05-26|12.0|12.03|11.94|11.96|49542|0|210566104
78|2011-05-27|11.96|12.06|11.94|12.05|45102|0|192135608
79|2011-05-31|12.18|12.42|12.18|12.42|81175|0|377086752
80|2011-06-01|12.46|12.58|12.31|12.34|112631|0|521320772
81|2011-06-02|12.38|12.43|12.3|12.36|70937|0|323587376
82|2011-06-03|12.26|12.33|12.21|12.26|66830|0|289711492
83|2011-06-06|12.35|12.39|12.06|12.07|99463|0|446067496
84|2011-06-07|12.08|12.08|11.85|11.85|108122|0|498957508
85|2011-06-08|11.85|11.96|11.81|11.87|70715|0|312399192
86|2011-06-09|11.9|11.92|11.81|11.84|59928|0|258910372
87|2011-06-10|11.81|11.85|11.63|11.63|91110|0|411081944
88|2011-06-13|11.68|11.73|11.61|11.66|69962|0|313329800
89|2011-06-14|11.79|11.9|11.76|11.87|68513|0|301438788
90|2011-06-15|11.78|11.8|11.6|11.67|85301|0|369506424
91|2011-06-16|11.68|11.74|11.37|11.61|109449|0|480820620
92|2011-06-17|11.75|11.76|11.41|11.44|115685|0|511407876
93|2011-06-20|11.33|11.35|11.09|11.26|134325|0|616042728
94|2011-06-21|11.31|11.64|11.26|11.62|106180|0|474355448
95|2011-06-22|11.61|11.75|11.51|11.52|85441|0|375347028
96|2011-06-23|11.39|11.85|11.36|11.83|118904|0|532147448
97|2011-06-24|11.84|11.9|11.61|11.66|90342|0|405181028
98|2011-06-27|11.7|11.93|11.69|11.86|67493|0|292968984
99|2011-06-28|11.92|12.03|11.91|11.97|62106|0|276960152
100|2011-06-29|12.0|12.01|11.85|11.93|76955|0|336244384
101|2011-06-30|11.95|12.0|11.89|11.99|67599|0|299239528
102|2011-07-01|12.0|12.27|11.94|12.26|90746|0|417146604
103|2011-07-05|12.25|12.49|12.23|12.48|73173|0|329617960
104|2011-07-06|12.46|12.65|12.38|12.57|96378|0|430055304
105|2011-07-07|12.67|12.79|12.64|12.76|81919|0|380415896
106|2011-07-08|12.62|12.86|12.58|12.85|105307|0|465521392
107|2011-07-11|12.73|12.85|12.6|12.65|96376|0|425381740
108|2011-07-12|12.63|12.77|12.45|12.64|97922|0|431098332
109|2011-07-13|12.8|12.86|12.73|12.79|82504|0|370429836
110|2011-07-14|12.89|12.91|12.73|12.78|92795|0|398036296
111|2011-07-15|12.9|13.04|12.83|13.03|100986|0|437467800
112|2011-07-18|13.05|13.38|13.05|13.35|120454|0|539495908
113|2011-07-19|13.5|13.52|13.33|13.46|143803|0|658884044
114|2011-07-20|14.15|14.15|13.79|13.82|190543|0|850392172
115|2011-07-21|13.82|13.93|13.71|13.83|108887|0|496229916
116|2011-07-22|13.87|14.11|13.85|14.05|112584|0|502081944
117|2011-07-25|13.94|14.29|13.92|14.23|123777|0|562954252
118|2011-07-26|14.29|14.45|14.27|14.4|97314|0|445200476
119|2011-07-27|14.31|14.38|14.01|14.02|139173|0|621280184
120|2011-07-28|13.99|14.18|13.86|14.0|121982|0|556133368
121|2011-07-29|13.84|14.11|13.71|13.95|136648|0|592073328
122|2011-08-01|14.2|14.27|14.01|14.17|128300|0|571494392
123|2011-08-02|14.2|14.21|13.87|13.89|138450|0|602107380
124|2011-08-03|13.96|14.06|13.65|14.02|162200|0|706446328
125|2011-08-04|13.91|13.98|13.48|13.48|192073|0|840347956
126|2011-08-05|13.59|13.7|12.95|13.35|252713|0|1127520240
127|2011-08-08|12.92|13.13|12.61|12.62|240537|0|1065852032
128|2011-08-09|12.91|13.38|12.68|13.37|233607|0|1015760872
129|2011-08-10|13.25|13.38|12.95|12.96|191364|0|817553380
130|2011-08-11|13.23|13.41|13.03|13.35|155604|0|676667068
131|2011-08-12|13.5|13.56|13.37|13.46|115192|0|501208484
132|2011-08-15|13.56|13.75|13.5|13.69|100790|0|437677380
133|2011-08-16|13.63|13.69|13.43|13.59|106300|0|472120348
134|2011-08-17|13.66|13.73|13.5|13.58|95008|0|400168692
135|2011-08-18|13.24|13.31|12.91|13.07|186196|0|812637224
136|2011-08-19|12.93|13.11|12.71|12.72|162782|0|705298524
137|2011-08-22|13.02|13.03|12.68|12.73|116587|0|507338020
138|2011-08-23|12.86|13.34|12.75|13.34|145295|0|628297684
139|2011-08-24|13.33|13.53|13.0|13.43|127542|0|561108632
140|2011-08-25|13.04|13.41|12.73|13.35|173732|0|754494188
141|2011-08-26|13.27|13.71|13.24|13.7|139386|0|600343548
142|2011-08-29|13.86|13.98|13.86|13.92|86435|0|385141176
143|2011-08-30|13.87|13.99|13.79|13.93|95532|0|398725264
144|2011-08-31|13.95|14.0|13.64|13.74|109609|0|486965780
145|2011-09-01|13.78|13.83|13.6|13.61|77347|0|322284424
146|2011-09-02|13.38|13.5|13.28|13.36|95965|0|404648636
147|2011-09-06|13.11|13.58|13.09|13.55|104739|0|450278584
148|2011-09-07|13.77|13.77|13.64|13.71|72596|0|316592276
149|2011-09-08|13.65|13.88|13.65|13.72|89871|0|395605084
150|2011-09-09|13.72|13.79|13.39|13.47|133043|0|541429280
151|2011-09-12|13.32|13.6|13.28|13.57|106716|0|447165796
152|2011-09-13|13.65|13.79|13.58|13.73|99419|0|419751332
153|2011-09-14|13.82|14.01|13.78|13.9|116712|0|511816648
154|2011-09-15|13.98|14.06|13.93|14.04|87801|0|381658172
155|2011-09-16|14.13|14.3|14.11|14.29|118369|0|553071456
156|2011-09-19|14.18|14.76|14.11|14.7|176740|0|798905520
157|2011-09-20|14.83|15.1|14.69|14.77|160962|0|745501736
158|2011-09-21|14.99|15.06|14.71|14.72|125746|0|574210840
159|2011-09-22|14.33|14.64|14.17|14.35|203019|0|911445108
160|2011-09-23|14.3|14.53|14.28|14.43|114914|0|506135980
161|2011-09-26|14.28|14.43|13.98|14.4|159376|0|737627716
162|2011-09-27|14.6|14.62|14.22|14.26|135041|0|603943060
163|2011-09-28|14.29|14.42|14.16|14.18|92178|0|408427012
164|2011-09-29|14.35|14.36|13.79|13.94|138052|0|630144592
165|2011-09-30|13.83|13.89|13.61|13.61|116878|0|503855604
166|2011-10-03|13.58|13.67|13.33|13.37|141068|0|628661236
167|2011-10-04|13.39|13.64|12.65|13.31|262988|0|1196620712
168|2011-10-05|13.14|13.57|12.87|13.52|168914|0|755464192
169|2011-10-06|13.34|13.74|13.28|13.48|169688|0|754521544
170|2011-10-07|13.43|13.49|13.16|13.21|119202|0|503048252
171|2011-10-10|13.54|13.89|13.51|13.89|91405|0|412183912
172|2011-10-11|14.02|14.4|13.98|14.3|130364|0|584914344
173|2011-10-12|14.55|14.62|14.29|14.36|128558|0|584045336
